idVuelo;idIncidente;crsDepTime;crsArrTime;arrTime;cancelled;diverted;carrierDelay;weatherDelay;nasDelay;securityDelay;lateAircraftDelay;divArrDelay;div1airport;div2airport
476;236;645;833;845;0;0;0;0;0;0;0;;;
477;237;1519;1726;1934;0;0;0;0;128;0;0;;;
478;238;840;1018;1027;0;0;0;0;0;0;0;;;
480;239;1140;1344;1402;0;0;0;0;18;0;0;;;
481;240;1905;2024;2041;0;0;17;0;0;0;0;;;
483;241;545;800;805;0;0;0;0;0;0;0;;;
486;242;700;944;1007;0;0;0;0;23;0;0;;;
487;243;1615;1722;1733;0;0;0;0;0;0;0;;;
488;244;1035;1319;1400;0;0;0;0;34;0;7;;;
492;245;645;758;913;0;0;75;0;0;0;0;;;
494;246;2055;2221;2224;0;0;0;0;0;0;0;;;
498;247;1940;2309;2314;0;0;0;0;0;0;0;;;
501;248;1600;1958;2005;0;0;0;0;0;0;0;;;
502;249;635;800;807;0;0;0;0;0;0;0;;;
503;250;1525;1818;2129;0;0;0;0;191;0;0;;;
504;251;1205;1431;1440;0;0;0;0;0;0;0;;;
505;252;900;1007;1017;0;0;0;0;0;0;0;;;
506;253;1410;1635;1636;0;0;0;0;0;0;0;;;
507;254;1145;1301;1304;0;0;0;0;0;0;0;;;
508;255;1340;1625;1631;0;0;0;0;0;0;0;;;
509;256;745;1001;1016;0;0;0;0;15;0;0;;;
511;257;1459;1654;2027;0;0;0;0;213;0;0;;;
512;258;1700;1809;1823;0;0;0;0;0;0;0;;;
513;259;605;748;750;0;0;0;0;0;0;0;;;
514;260;1514;1731;1733;0;0;0;0;0;0;0;;;
515;261;1155;1412;1429;0;0;0;0;17;0;0;;;
516;262;850;1109;1127;0;0;0;0;18;0;0;;;
519;263;859;959;1000;0;0;0;0;0;0;0;;;
520;264;615;809;817;0;0;0;0;0;0;0;;;
522;265;1050;1235;1239;0;0;0;0;0;0;0;;;
525;266;900;1000;1005;0;0;0;0;0;0;0;;;
526;267;1422;1556;2233;0;0;0;0;397;0;0;;;
528;268;615;737;747;0;0;0;0;0;0;0;;;
529;269;1300;1348;1355;0;0;0;0;0;0;0;;;
536;270;815;957;1004;0;0;0;0;0;0;0;;;
538;271;1135;1255;1300;0;0;0;0;0;0;0;;;
541;272;1910;2103;2126;0;0;23;0;0;0;0;;;
545;273;707;835;846;0;0;0;0;0;0;0;;;
550;274;635;812;824;0;0;0;0;0;0;0;;;
551;275;855;1055;1114;0;0;0;0;19;0;0;;;
552;276;1135;1315;1342;0;0;0;0;27;0;0;;;
555;277;1643;1830;2343;0;0;0;0;313;0;0;;;
556;278;1415;1545;1553;0;0;0;0;0;0;0;;;
558;279;1710;1844;2106;0;0;65;0;0;0;77;;;
560;280;1220;1547;1801;0;0;0;0;134;0;0;;;
563;281;1440;1640;1642;0;0;0;0;0;0;0;;;
567;282;857;957;1014;0;0;0;0;17;0;0;;;
570;283;615;727;750;0;0;0;0;23;0;0;;;
571;284;1015;1345;1402;0;0;0;0;17;0;0;;;
575;285;620;811;813;0;0;0;0;0;0;0;;;
585;286;600;747;813;0;0;0;0;26;0;0;;;
586;287;835;1025;1054;0;0;16;0;13;0;0;;;
588;288;1725;1847;1851;0;0;0;0;0;0;0;;;
589;289;1505;1712;2136;0;0;0;0;264;0;0;;;
592;290;1440;1630;1648;0;0;0;0;18;0;0;;;
594;291;1035;1404;1407;0;0;0;0;0;0;0;;;
595;292;1845;2010;2015;0;0;0;0;0;0;0;;;
603;293;1515;1753;1801;0;0;0;0;0;0;0;;;
604;294;1900;2217;2229;0;0;0;0;0;0;0;;;
605;295;550;834;850;0;0;9;0;7;0;0;;;
610;296;1555;1755;1804;0;0;0;0;0;0;0;;;
615;297;2055;2224;2230;0;0;0;0;0;0;0;;;
616;298;610;722;728;0;0;0;0;0;0;0;;;
621;299;1545;1745;1821;0;0;36;0;0;0;0;;;
622;300;1915;2122;2207;0;0;45;0;0;0;0;;;
625;301;1302;1451;2015;0;0;0;0;324;0;0;;;
626;302;1340;1537;2035;0;0;0;0;298;0;0;;;
628;303;603;725;727;0;0;0;0;0;0;0;;;
629;304;1900;2045;2351;0;0;70;0;0;0;116;;;
630;305;1640;1935;2022;0;0;14;0;33;0;0;;;
631;306;700;1122;1123;0;0;0;0;0;0;0;;;
635;307;1511;1900;2337;0;0;0;0;277;0;0;;;
640;308;600;805;830;0;0;0;0;25;0;0;;;
643;309;745;950;952;0;0;0;0;0;0;0;;;
644;310;1100;1905;1944;0;0;0;0;39;0;0;;;
